Sex,51MD,51BL,52MD,52BL,53MD,53BL,54MD,54BL,55MD,55BL,61MD,61BL,62MD,62BL,63MD,63BL,64MD,64BL,65MD,65BL,71MD,71BL,72MD,72BL,73MD,73BL,74MD,74BL,75MD,75BL,81MD,81BL,82MD,82BL,83MD,83BL,84MD,84BL,85MD,85BL
1,7.09,5.45,5.76,4.44,6.84,5.97,6.95,7.9,11.2,10.1,7.05,6.17,5.97,4.5,6.67,5.52,7.16,8,10.8,10.1,4.5,4.59,4.75,4.66,6.22,5.48,7.79,7.68,10.4,9.62,4.51,4.05,4.89,3.81,6.14,5.18,7.99,7.66,10.5,9.17
1,7.21,6.13,4.46,5.21,7.15,6.02,7.44,8.92,9.24,10.12,6.94,6.09,5.69,5.41,7.08,6.31,6.94,9.21,8.71,10.4,2.84,4.29,4.05,4.28,5.79,5.73,7.5,7.82,10.29,9.22,3.95,4.74,4.75,4.71,5.82,5.84,7.12,7.15,9.89,9.39
1,7.06,5.78,6.08,5.66,6.63,5.98,7.21,8.92,9.65,9.68,6.5,5.64,5.97,4.98,6.3,4.75,7.57,9.29,9.27,9.41,4.29,4.92,5.02,4.53,6.29,5.88,8.77,7.4,11.87,9.88,4.26,4.79,4.96,5.51,6.67,5.88,9.11,7.16,11.43,9.22
1,6.19,4.85,5.17,4.93,6.88,6.02,6.93,8.63,10.08,10.21,5.68,4.74,5.6,4.55,6.87,5.93,7.11,8.93,9.2,10.01,3.81,3.77,4.76,4.55,6.31,5.23,7.81,7.53,11,8.75,3.84,4.03,4.99,4.46,5.72,5.78,8.15,7.36,10.09,9.84
1,5.71,4.67,4.94,4.21,6.48,5.3,6.07,7.56,9.14,9.22,5.57,4.32,4.83,3.91,6.25,5,5.92,8.31,8.62,9.37,4.24,3.87,4.91,3.86,5.99,5.65,8.47,7.77,9.93,9.32,3.81,3.84,4.83,4.14,5.37,5.24,8.37,7.29,9.73,9.63
1,6.08,5.92,5.64,5.37,6.54,5.95,6.67,8.11,9.63,9.35,6.13,5.81,5.52,5.49,6.48,5.85,6.69,8.39,8.89,9.41,4.06,3.7,4.18,3.82,4.98,5.72,8.22,7.29,10,9.32,3.74,3.86,4.49,4.51,5.28,5.52,8.17,6.53,10.3,9.17
1,6.07,4.63,4.91,5.45,6.45,7.65,8.09,9.16,11.1,9.62,5.39,4.52,5.27,4.87,5.88,5.71,6.31,7.42,7.88,8.93,4.02,4.01,4.7,4.84,5.62,4.6,8.05,7.07,10.5,9.15,3.85,4.37,3.91,4.25,5.92,4.82,7.84,6.99,11.1,9.19
1,6.39,4.86,5.24,5.18,6.12,5.86,7.37,8.79,9.29,9.98,6.16,5.07,5.99,4.73,6.53,5.79,7.09,8.8,8.81,9.82,3.8,3.85,4.22,4.06,5.49,5.43,7.35,7.01,10.05,8.32,3.85,3.65,4.01,3.87,5.31,4.71,7.72,7.19,10.07,9.97
1,7.21,5.81,6.06,4.33,7.14,6.51,7.94,8.29,8.82,10.2,6.58,5.83,6.08,4.25,6.97,6.25,8.7,8.44,10.4,10.5,4.09,3.99,2.47,4.05,5.82,5.38,7.19,7.29,9.56,8.54,4.06,3.78,4.76,4.08,6.01,5.59,7.86,7.65,10.06,9.36
1,7.58,6.34,5.81,6.31,7.06,7.13,6.81,8.31,11.12,8.75,7.25,5.76,5.58,4.74,6.67,5.87,6.75,8.64,9.82,9.38,4.11,4.16,4.63,3.94,5.92,5.49,9.02,7.44,9.81,8.65,4.08,3.85,4.88,4.08,5.38,5.56,8.26,7.5,9.94,9.07
