Sex,51MD,51BL,52MD,52BL,53MD,53BL,54MD,54BL,55MD,55BL,61MD,61BL,62MD,62BL,63MD,63BL,64MD,64BL,65MD,65BL,71MD,71BL,72MD,72BL,73MD,73BL,74MD,74BL,75MD,75BL,81MD,81BL,82MD,82BL,83MD,83BL,84MD,84BL,85MD,85BL,
1,5.69,5.76,5.54,5.81,5.87,6.32,8.04,8.29,11,8.6,6.33,5.77,5.63,5.01,5.65,6.1,7.75,8.72,9.34,9.6,3.4,3.49,4.12,3.65,4.93,4.99,7.63,6.99,8.97,8.4,3.63,4.05,4.77,4.62,5.08,5.41,7.32,6.62,9.75,8.34,
1,7.03,4.77,5.38,4.02,6.84,5.62,7.82,8.71,10.74,10.25,6.98,5.12,5.52,5.01,6.63,5.58,7.39,9.39,9.44,10.41,3.87,3.49,4.41,3.63,5.57,5.12,8.32,8.1,10.09,9.95,4.66,3.43,4.67,4.34,5.69,4.9,8.43,7.33,10.12,9.57,
1,5.64,5.75,5.06,5.07,6.42,5.65,7.72,8.45,8.92,9.64,6,5.96,5.51,5.67,6.16,5.76,7.38,8.24,9.36,9.65,5.39,4.42,4.71,5.1,5.25,5.03,8.4,6.99,10.41,8.72,5.38,3.82,4.15,4.57,5.2,6.14,8.35,7.76,11.13,8.72,
1,6.65,4.88,5.51,5.06,6.74,5.73,6.87,7.64,8.97,9.16,6.62,4.52,5.13,4.51,6.6,5.78,6.85,8.34,8.27,9.03,3.63,3.62,3.97,3.31,5.84,5.13,7.75,7.8,9.3,8.75,3.23,3.85,4.23,4.02,6,5.72,7.47,7.06,9.12,8.5,
1,6.75,5.54,5.38,4.66,6.53,5.98,7.06,8.51,8.88,9.58,6.73,5.2,5.47,5,6.53,6.21,6.15,8.34,8.93,9.71,3.85,4.15,4.36,3.62,5.53,5.29,6.79,6.73,10.2,9.57,4.48,4.04,4.52,4.4,5.33,6.69,7.61,7.78,10.2,9.4,
1,6.08,5.08,5.01,4.34,6.22,5.45,7.53,8.67,9.05,9.91,6.25,5.05,5.25,4.35,6.25,5.69,7.04,9.46,9.01,10.3,3.79,5.69,4.36,5.25,5.41,5.26,7.1,7.52,10.09,10.7,4.13,5.24,4.71,5.76,5.78,5.54,7.35,8.36,10.23,9.4,
1,6.87,4.66,4.66,3.17,6.37,4.98,6.92,8.36,9.61,9.73,7.37,5.4,4.73,4.19,6.38,5.34,7.25,10.6,9.23,9.96,4.82,4.58,4.37,4.66,5.31,4.92,7.62,6.98,8.78,8.26,4.71,4.3,4.66,5.56,6.09,5.5,7.59,6.79,10.1,9.14,
1,6.25,5.72,5.26,5.37,6.9,7.17,6.78,8.33,11,9.92,6.31,5.94,5.75,5.73,6.47,6.47,7.25,8.32,9.52,10.2,4.33,5.2,4.77,5.73,5.79,6.46,8,8.17,10,9.39,3.69,5.32,4.72,6.41,5.76,8.04,7.85,7.92,10.8,9.8,
1,6.7,4.56,5.58,4.15,6.69,5.74,7.52,8.38,9.77,9.07,7.35,5.55,5.65,4.97,6.79,6.35,7.32,8.55,9.44,9.49,4.12,3.03,4.57,3.44,4.49,4.98,7.74,7,9.99,8.14,4.11,4.1,4.63,5.54,5.93,5.6,7.9,6.78,10.8,9.51,
1,7.22,5.08,5.98,5.04,7.14,6.11,6.98,7.63,9.29,9.86,7.6,5.2,6.37,4.86,6.63,6.42,6.98,8.74,8.38,9.82,4.03,4.39,4.59,4.7,5.2,4.76,6.84,7.94,9.37,8.37,3.86,4.72,4.69,4.17,5.99,5.3,7.24,6.87,10.2,8.81,
