"Model,Accuracy,Precision (Macro),Recall (Macro),F1 Score (Macro),Sensitivity,Specificity,ROC AUC,Average Precision,Log Loss,Brier Score"
"Gradient Boosting,0.62,0.627334,0.62,0.614448,0.50,0.74,0.6528,0.645743,1.657669,0.341512"
"CatBoost,0.60,0.606112,0.60,0.594156,0.48,0.72,0.6632,0.651997,0.652727,0.230874"
"Extra Trees,0.59,0.590909,0.59,0.588972,0.54,0.64,0.6644,0.678497,0.655613,0.231896"
"Random Forest,0.57,0.572344,0.57,0.566489,0.48,0.66,0.6264,0.620037,0.667155,0.237991"
"LightGBM,0.56,0.562500,0.56,0.555556,0.46,0.66,0.6668,0.659642,0.918138,0.302130"
"Support Vector Machine,0.55,0.553625,0.55,0.542264,0.42,0.68,0.5756,0.600108,0.683044,0.244944"
"AdaBoost,0.55,0.558439,0.55,0.533147,0.36,0.74,0.6408,0.630495,0.682930,0.244906"
"XGBoost,0.55,0.553625,0.55,0.542264,0.42,0.68,0.5816,0.580166,0.730260,0.264068"
"Decision Tree,0.54,0.541667,0.54,0.535354,0.44,0.64,0.5334,0.538745,2.512710,0.309522"
"Logistic Regression,0.54,0.541051,0.54,0.537037,0.46,0.62,0.5956,0.657624,0.675507,0.241866"
